District,Cohort Year (Graduation 2017) ,Cohort,# Total Cohort,# Grads,Asian %,African American %,Hispanic %,Other %,American Indian %,White %,Pacific Islander %
1,2012,4 year June,1069,629,63.6,56.5,45.5,63.6,42.9,87.9,
2,2012,4 year June,8980,6654,89.3,67.9,68.5,88.4,69.6,82.4,
3,2012,4 year June,2256,1710,94.7,67.2,65.7,95.8,68.8,91.0,
4,2012,4 year June,928,722,93.8,68.9,81.1,0.0,0.0,75.8,
5,2012,4 year June,988,609,81.7,60.6,58.9,0.0,0.0,90.5,
6,2012,4 year June,1348,831,76.2,63.8,61.6,0.0,0.0,59.1,
7,2012,4 year June,1703,966,65.6,61.0,54.7,88.9,25.0,55.6,
8,2012,4 year June,1906,956,73.3,49.5,49.0,54.5,45.0,47.7,
9,2012,4 year June,2084,1347,74.2,67.2,63.1,72.7,71.4,57.7,
10,2012,4 year June,4098,2841,93.3,67.5,59.6,92.8,30.0,87.5,
11,2012,4 year June,2358,1561,82.8,69.7,62.0,75.0,38.7,64.6,
12,2012,4 year June,1689,910,58.1,51.0,55.3,57.1,16.7,46.2,
13,2012,4 year June,2941,2415,94.6,73.8,70.9,93.1,62.5,93.5,
14,2012,4 year June,1800,1295,98.6,72.4,69.1,90.9,83.3,69.2,
15,2012,4 year June,1476,963,69.7,73.3,59.1,73.1,58.8,56.6,
16,2012,4 year June,500,228,42.9,46.8,43.9,0.0,0.0,0.0,
17,2012,4 year June,2083,1411,66.0,69.4,56.7,83.3,60.0,42.4,
18,2012,4 year June,1208,677,76.9,56.9,57.7,0.0,0.0,29.4,
19,2012,4 year June,1241,783,69.6,64.6,59.9,85.7,50.0,59.1,
20,2012,4 year June,2996,2044,73.0,65.4,57.7,77.1,50.0,73.7,
21,2012,4 year June,2717,1883,76.2,63.2,63.0,93.3,77.8,73.5,
22,2012,4 year June,2586,2041,84.5,77.3,69.5,95.2,40.0,81.0,
23,2012,4 year June,620,245,33.3,42.4,28.6,0.0,0.0,0.0,
24,2012,4 year June,3642,2583,86.3,41.7,70.1,83.3,66.7,78.9,
25,2012,4 year June,2395,1605,81.0,61.3,56.6,87.5,60.0,74.6,
26,2012,4 year June,3477,2893,86.9,77.5,80.8,90.0,78.8,84.6,
27,2012,4 year June,2734,1725,71.0,57.5,62.8,66.7,22.9,68.3,
28,2012,4 year June,3762,2970,84.2,74.3,75.7,90.3,66.0,83.2,
29,2012,4 year June,1087,741,83.1,66.7,70.6,94.1,50.0,50.0,
30,2012,4 year June,2301,1683,77.9,63.6,69.2,86.7,66.7,82.6,
31,2012,4 year June,4544,3527,90.8,65.8,67.1,76.5,76.5,84.1,
32,2012,4 year June,655,408,83.3,65.0,62.2,0.0,0.0,16.7,
